input_si_sdr,input_stoi,input_pesq,si_sdr,stoi,pesq,id
-23.146973133087158,0.7058932974861103,1.8149653911590575,-30.015076756477356,0.5317893232104426,1.7895609617233277,0
-26.43336157798767,0.7245441568062871,2.8844089031219484,-33.71453943252563,0.5090242994561324,1.920454454421997,1
-38.918789577484134,0.5541954051641966,2.1260459661483764,-58.89224090576172,0.363299559395795,2.1180195808410645,2
-24.65222930908203,0.7439139820554861,1.695867085456848,-27.68826906681061,0.5945570156955212,1.8451295137405395,3
-38.23350875377655,0.6029710367036464,3.266509771347046,-42.48074893951416,0.46890072930974575,2.201941728591919,4
-10.65337963104248,0.8825282781955632,1.7185830116271972,-20.34293088912964,0.6929715637408991,1.3236552953720093,5
-24.45171546936035,0.7722516646492587,2.049183750152588,-28.567873764038087,0.6708988309736161,1.5307887315750122,6
-25.605293178558348,0.7612621376297362,2.05020809173584,-34.44323177337647,0.4768172634413309,1.5365355014801025,7
-34.459590101242064,0.5846584533661041,2.052912187576294,-41.42236988544464,0.504777771405789,2.1291897296905518,8
-35.80743007659912,0.5289342409023055,1.6738653421401977,-35.960220909118654,0.5004782755840875,2.0386106252670286,9
-17.419765663146972,0.7018042652094019,1.4233421802520752,-10.38078020811081,0.7233427779251975,1.4732167959213256,10
-41.85565309524536,0.4183231532304064,2.0345932722091673,-37.38752346038818,0.38371445169647966,2.1961416721343996,11
-26.252601861953735,0.6704889591219306,2.2636902809143065,-28.863216972351076,0.6150853065713504,2.046446418762207,12
-11.336526107788085,0.9355692994411242,2.447536826133728,-17.982717990875244,0.6793881832466999,1.5105783700942994,13
-39.42902498245239,0.6082799150849567,2.231127905845642,-37.75850219726563,0.5527201211682587,2.445102334022522,14
