input_si_sdr,input_stoi,input_pesq,si_sdr,stoi,pesq,id
-23.146973133087158,0.7058932974861103,1.8149653911590575,-33.00793840885162,0.5093052262593079,1.923736572265625,0
-26.43336157798767,0.7245441568062871,2.8844089031219484,-35.00984878540039,0.5362572971190708,1.8714521884918214,1
-38.918789577484134,0.5541954051641966,2.1260459661483764,-54.6691707611084,0.3593077126695738,2.0048282384872436,2
-24.65222930908203,0.7439139820554861,1.695867085456848,-32.371759223937985,0.5547508372891143,2.0228193521499636,3
-38.23350875377655,0.6029710367036464,3.266509771347046,-45.27270011901855,0.4739645750722131,1.9927701711654664,4
-10.65337963104248,0.8825282781955632,1.7185830116271972,-28.39038243815303,0.6596315049957238,1.3663821458816527,5
-24.45171546936035,0.7722516646492587,2.049183750152588,-32.261110877990724,0.6343170522505418,1.8805711269378662,6
-25.605293178558348,0.7612621376297362,2.05020809173584,-40.451786041259766,0.5445110818808344,1.5225753307342529,7
-34.459590101242064,0.5846584533661041,2.052912187576294,-36.23178944587708,0.507352667266109,2.0531590223312377,8
-35.80743007659912,0.5289342409023055,1.6738653421401977,-39.63645420074463,0.4898491503620351,1.6832659721374512,9
-17.419765663146972,0.7018042652094019,1.4233421802520752,-12.38840847015381,0.7125636687237972,1.4348412990570067,10
-41.85565309524536,0.4183231532304064,2.0345932722091673,-38.92023601531982,0.3709855424076107,2.2278634309768677,11
-26.252601861953735,0.6704889591219306,2.2636902809143065,-30.765228366851808,0.5790397042470425,2.523873805999756,12
-11.336526107788085,0.9355692994411242,2.4548593759536743,-21.619542121887207,0.6707892522125002,2.0481204986572266,13
-39.42902498245239,0.6082799150849567,2.231127905845642,-37.58224110603332,0.5387114762829253,2.3260180950164795,14
