input_si_sdr,input_stoi,input_pesq,si_sdr,stoi,pesq,id
-23.146973133087158,0.7058932974861103,1.8149653911590575,-32.559099873900415,0.46667655613402703,1.8739463806152343,0
-26.43336157798767,0.7245441568062871,2.8844089031219484,-31.897154998779296,0.5016253094327616,1.7595268964767456,1
-38.918789577484134,0.5541954051641966,2.1260459661483764,-53.481318664550784,0.38750766832284345,2.369020962715149,2
-24.65222930908203,0.7439139820554861,1.695867085456848,-35.05332565307617,0.5767467410573561,2.141568899154663,3
-38.23350875377655,0.6029710367036464,3.266509771347046,-45.452260208129886,0.4526190352272109,1.8415449142456055,4
-10.65337963104248,0.8825282781955632,1.7185830116271972,-23.8294527053833,0.6925897593247493,1.2640305995941161,5
-24.45171546936035,0.7722516646492587,2.049183750152588,-28.99279327392578,0.6158313573325886,1.7617888927459717,6
-25.605293178558348,0.7612621376297362,2.05020809173584,-37.02068195343018,0.4485719217752324,1.2406572580337525,7
-34.459590101242064,0.5846584533661041,2.052912187576294,-43.77098932266235,0.44342792698235095,2.0787768363952637,8
-35.80743007659912,0.5289342409023055,1.6738653421401977,-37.130828857421875,0.500796307274813,1.6793970108032226,9
-17.419765663146972,0.7018042652094019,1.4233421802520752,-12.257454872131348,0.6992495004190715,1.3342299938201905,10
-41.85565309524536,0.4183231532304064,2.0345932722091673,-55.923010635375974,0.31302481463064824,1.939290738105774,11
-26.252601861953735,0.6704889591219306,2.2636902809143065,-30.97938480377197,0.5730740261384615,1.6931671142578124,12
-11.336526107788085,0.9355692994411242,2.5401927709579466,-24.048573112487794,0.6649027069290421,2.2936758518218996,13
-39.42902498245239,0.6082799150849567,2.231127905845642,-47.2589955329895,0.48964198270488846,2.3484501123428343,14
